Family Condition
คู่สมรสปกติ ไม่มีบุตร
คู่สมรสปกติ บุตร 1 คน
คู่สมรสปกติ บุตร 2 คน
ไม่มีคู่สมรส บุตร 1 คน
ไม่มีคู่สมรส บุตร 2 คน
ไม่มีคู่สมรส บุตร 1 คนอายุเกิน
ไม่มีคู่สมรส บุตร 2 คนอายุเกิน
ไม่มีคู่สมรส บุตรเสียชีวิต 1 คน
ไม่มีคู่สมรส บุตรเสียชีวิต 2 คน
คู่สมรสอายุเกิน บุตร 2 คน
คู่สมรสอายุเกิน บุตร 1 คนอายุเกิน
คู่สมรสอายุเกิน บุตร 2 คนอายุเกิน
คู่สมรสอายุเกิน บุตรเสียชีวิต 1 คน
คู่สมรสอายุเกิน บุตรเสียชีวิต 2 คน
คู่สมรสเสียชีวิต บุตร 2 คน
คู่สมรสเสียชีวิต บุตร 1 คนอายุเกิน
คู่สมรสเสียชีวิต บุตร 2 คนอายุเกิน
คู่สมรสเสียชีวิต บุตรเสียชีวิต 1 คน
คู่สมรสเสียชีวิต บุตรเสียชีวิต 2 คน
